"품목분류별 사업체수, 생산액, 출하액 및 연말재고액(10명 이상, 2008년)"

"C시도별","시도별","C품목별","품목별","시점","사업체수 (개)","생산액 (백만원)","출하금액 (백만원)","완제품 연말재고액 (백만원)"
'00,"전  국",'0,"광업 및 제조업",2008,62501.0000,1087308250.0000,1081268167.0000,34566963.0000
'00,"전  국",'B,"광업(05~08)",2008,424.0000,2513211.0000,2518617.0000,86515.0000
'00,"전  국",'B05," 석탄, 원유 및 천연가스 광업",2008,8.0000,381992.0000,400457.0000,24275.0000
'00,"전  국",'B05100101,"  무연탄(채굴)",2008,6.0000,283465.0000,301886.0000,24145.0000
'00,"전  국",'B05200101,"  원유(채굴한 것)",2008,1.0000,...,...,...
'00,"전  국",'B05200102,"  천연가스(채굴한 것)",2008,1.0000,...,...,...
'00,"전  국",'B06," 금속광업",2008,5.0000,45805.0000,46096.0000,311.0000
'00,"전  국",'B06100100,"  철광(채굴 및 정광)",2008,2.0000,...,...,...
'00,"전  국",'B06291100,"  귀금속광물(채굴 및 정광)",2008,2.0000,...,...,...
'00,"전  국",'B06292100,"  연(납)광 및 아연광(채굴 및 정광)",2008,1.0000,...,...,...
'00,"전  국",'B07," 비금속광물 광업;연료용 제외",2008,410.0000,2072858.0000,2059508.0000,61929.0000
'00,"전  국",'B07111101,"  석회쇄석(채굴)",2008,61.0000,386572.0000,385986.0000,8776.0000
'00,"전  국",'B07111102,"  석고(채굴한 것)",2008,1.0000,...,...,...
'00,"전  국",'B07112101,"  고령토(채굴)",2008,3.0000,4059.0000,4084.0000,559.0000
'00,"전  국",'B07112109,"  기타 점토(채굴)",2008,1.0000,...,...,...
'00,"전  국",'B07121101,"  화강암 원석(파쇄되지 않은 것)",2008,27.0000,65517.0000,64907.0000,5794.0000
'00,"전  국",'B07121102,"  석회석 원석(파쇄되지 않은 것)",2008,6.0000,15792.0000,14623.0000,1545.0000
'00,"전  국",'B07122100,"  건설용 쇄석(석회쇄석 제외)",2008,215.0000,996683.0000,992564.0000,28377.0000
'00,"전  국",'B07123101,"  건설용 천연모래",2008,53.0000,423123.0000,419461.0000,7454.0000
'00,"전  국",'B07123102,"  천연 자갈",2008,7.0000,26234.0000,26008.0000,501.0000
'00,"전  국",'B07123200,"  공업용 천연모래",2008,10.0000,87553.0000,87263.0000,2258.0000
'00,"전  국",'B07210101,"  납석(채굴)",2008,3.0000,15949.0000,13398.0000,4755.0000
'00,"전  국",'B07210109,"  기타 화학 및 비료 원료용 광물(채굴)",2008,2.0000,...,...,...
'00,"전  국",'B07220100,"  소금(채취한 것)",2008,8.0000,7389.0000,6846.0000,901.0000
'00,"전  국",'B07290101,"  규석(채굴)",2008,9.0000,18106.0000,18576.0000,436.0000
'00,"전  국",'B07290102,"  장석(채굴)",2008,1.0000,...,...,...
'00,"전  국",'B07290109,"  기타 비금속광물",2008,3.0000,5132.0000,5138.0000,197.0000
'00,"전  국",'B08," 광업 지원 서비스업",2008,1.0000,...,...,...
'00,"전  국",'B08090100,"  기타 광업 지원 서비스",2008,1.0000,...,...,...
'00,"전  국",'C,"제조업(10~33)",2008,62077.0000,1084795039.0000,1078749550.0000,34480448.0000
'00,"전  국",'C10," 식료품 제조업",2008,5772.0000,46329936.0000,46072445.0000,1402662.0000
'00,"전  국",'C10110101,"  쇠고기(도축)",2008,32.0000,277709.0000,277808.0000,8735.0000
'00,"전  국",'C10110102,"  돼지고기(도축)",2008,61.0000,968795.0000,961952.0000,27500.0000
'00,"전  국",'C10110109,"  기타 도축고기",2008,1.0000,...,...,...
'00,"전  국",'C10110201,"  닭고기",2008,50.0000,1862846.0000,1866153.0000,38275.0000
'00,"전  국",'C10110202,"  오리고기",2008,18.0000,157016.0000,134765.0000,25304.0000
'00,"전  국",'C10110902,"  도축고기 및 가금고기 부산물",2008,10.0000,182991.0000,182497.0000,4284.0000
'00,"전  국",'C10121101,"  가금류 소지시, 통조림 및 병조림",2008,3.0000,8818.0000,8786.0000,112.0000
'00,"전  국",'C10121102,"  가금류 포장육",2008,76.0000,301594.0000,296667.0000,9482.0000
'00,"전  국",'C10121109,"  기타 가금류 가공품",2008,56.0000,139162.0000,138011.0000,3485.0000
'00,"전  국",'C10129101,"  베이컨",2008,10.0000,19082.0000,19022.0000,495.0000
'00,"전  국",'C10129102,"  햄(가축)",2008,41.0000,478880.0000,480188.0000,17770.0000
'00,"전  국",'C10129103,"  소시지(축육)",2008,33.0000,226667.0000,224889.0000,4009.0000
'00,"전  국",'C10129104,"  기타 육지동물 소시지 유사제품",2008,32.0000,125172.0000,124453.0000,1940.0000
'00,"전  국",'C10129105,"  육지동물 통조림 및 병조림",2008,7.0000,8601.0000,8656.0000,300.0000
'00,"전  국",'C10129106,"  육지동물 포장육",2008,154.0000,1716731.0000,1713667.0000,51549.0000
'00,"전  국",'C10129109,"  기타 고기가공품",2008,105.0000,405586.0000,401801.0000,13377.0000
'00,"전  국",'C10211101,"  어묵 및 유사가공품",2008,60.0000,376968.0000,374137.0000,11844.0000
'00,"전  국",'C10211102,"  어육 소시지 및 어묵햄",2008,6.0000,81335.0000,81205.0000,1139.0000
'00,"전  국",'C10211103,"  조미오징어",2008,35.0000,101452.0000,99523.0000,8704.0000
'00,"전  국",'C10211104,"  조미쥐치포",2008,14.0000,16682.0000,16365.0000,3032.0000
'00,"전  국",'C10211105,"  기타 조미조제식품 및 어류훈제품",2008,24.0000,44872.0000,44567.0000,1666.0000
'00,"전  국",'C10211109,"  기타 수산동물 조리가공품",2008,22.0000,57413.0000,56836.0000,3983.0000
'00,"전  국",'C10211201,"  참치통조림",2008,5.0000,268106.0000,260170.0000,22509.0000
'00,"전  국",'C10211202,"  골뱅이통조림",2008,6.0000,40633.0000,43220.0000,2813.0000
'00,"전  국",'C10211203,"  굴 통조림",2008,8.0000,16110.0000,17805.0000,937.0000
'00,"전  국",'C10211204,"  꽁치통조림",2008,6.0000,16228.0000,18616.0000,1505.0000
'00,"전  국",'C10211209,"  기타 수산동물 통조림",2008,7.0000,5473.0000,5494.0000,122.0000
'00,"전  국",'C10212101,"  명태 건제품",2008,53.0000,85689.0000,86940.0000,5376.0000
'00,"전  국",'C10212102,"  멸치 건제품",2008,35.0000,80363.0000,80455.0000,286.0000
'00,"전  국",'C10212103,"  오징어류 건제품",2008,44.0000,35088.0000,38200.0000,4334.0000
'00,"전  국",'C10212104,"  어류의 채(건조한 것)",2008,31.0000,45637.0000,45629.0000,1140.0000
'00,"전  국",'C10212105,"  기타 소건품",2008,7.0000,9598.0000,9618.0000,23.0000
'00,"전  국",'C10212106,"  기타 자건품",2008,5.0000,4776.0000,4796.0000,188.0000
'00,"전  국",'C10212109,"  기타 수산동물 및 부산물 건제품",2008,20.0000,31016.0000,31424.0000,1750.0000
'00,"전  국",'C10212201,"  멸치젓류",2008,12.0000,20888.0000,19893.0000,2894.0000
'00,"전  국",'C10212202,"  명란젓 및 창란젓",2008,19.0000,52770.0000,52638.0000,2206.0000
'00,"전  국",'C10212203,"  기타 젓갈류",2008,39.0000,97008.0000,97986.0000,8874.0000
'00,"전  국",'C10212204,"  어류 염장품",2008,58.0000,182378.0000,182621.0000,23155.0000
'00,"전  국",'C10213101,"  냉동 참치",2008,9.0000,217262.0000,217387.0000,8555.0000
'00,"전  국",'C10213102,"  냉동 고등어",2008,14.0000,26770.0000,26775.0000,3729.0000
'00,"전  국",'C10213103,"  동태",2008,3.0000,5076.0000,5064.0000,12.0000
'00,"전  국",'C10213109,"  기타 어류 및 부산물의 냉동품",2008,53.0000,141762.0000,143085.0000,10781.0000
'00,"전  국",'C10213201,"  갑각류 냉동품",2008,10.0000,24736.0000,24813.0000,1114.0000
'00,"전  국",'C10213202,"  연체동물 냉동품",2008,49.0000,92051.0000,94742.0000,6073.0000
'00,"전  국",'C10219100,"  어육(신선 및 냉동한 것, 등뼈 제거)",2008,57.0000,191718.0000,193328.0000,7435.0000
'00,"전  국",'C10219201,"  비식용 어분",2008,7.0000,24606.0000,24724.0000,1094.0000
'00,"전  국",'C10219209,"  기타 수산동물 가공품",2008,6.0000,6153.0000,6488.0000,565.0000
'00,"전  국",'C10219900,"  어류 부산물(신선 및 냉동한 것)",2008,13.0000,53246.0000,53215.0000,1534.0000
'00,"전  국",'C10220101,"  김",2008,162.0000,452408.0000,450728.0000,12372.0000
'00,"전  국",'C10220102,"  미역",2008,73.0000,100765.0000,94851.0000,9286.0000
'00,"전  국",'C10220103,"  톳",2008,6.0000,16445.0000,16577.0000,1361.0000
'00,"전  국",'C10220109,"  기타 해조류 가공품",2008,57.0000,54711.0000,54466.0000,7284.0000
'00,"전  국",'C10301101,"  김치",2008,228.0000,799263.0000,796746.0000,23590.0000
'00,"전  국",'C10301102,"  단무지",2008,52.0000,132338.0000,132016.0000,2898.0000
'00,"전  국",'C10301109,"  기타 과실 및 채소 절임식품",2008,59.0000,78700.0000,78106.0000,2272.0000
'00,"전  국",'C10309101,"  오렌지원액",2008,2.0000,...,...,...
'00,"전  국",'C10309102,"  농축 과실즙",2008,25.0000,79330.0000,78339.0000,10186.0000
'00,"전  국",'C10309103,"  농축 채소즙",2008,16.0000,40937.0000,40647.0000,653.0000
'00,"전  국",'C10309104,"  과실주스",2008,12.0000,45690.0000,44438.0000,1546.0000
'00,"전  국",'C10309105,"  채소주스",2008,5.0000,35038.0000,34668.0000,545.0000
'00,"전  국",'C10309201,"  과실 통조림",2008,17.0000,64819.0000,65415.0000,8208.0000
'00,"전  국",'C10309202,"  잼 및 젤리 통조림",2008,25.0000,105707.0000,104911.0000,8354.0000
'00,"전  국",'C10309203,"  냉동 과실",2008,6.0000,12720.0000,12220.0000,2434.0000
'00,"전  국",'C10309209,"  기타 과실가공품",2008,12.0000,20238.0000,19970.0000,2706.0000
'00,"전  국",'C10309301,"  채소 통조림",2008,7.0000,9832.0000,9778.0000,1168.0000
'00,"전  국",'C10309302,"  건조 채소",2008,23.0000,118186.0000,117060.0000,4413.0000
'00,"전  국",'C10309309,"  기타 채소가공품",2008,57.0000,203916.0000,204080.0000,6416.0000
'00,"전  국",'C10309400,"  견과 가공품",2008,13.0000,45974.0000,45137.0000,2336.0000
'00,"전  국",'C10401101,"  식용 지방(육지동물의 것)",2008,7.0000,99826.0000,98236.0000,3288.0000
'00,"전  국",'C10401102,"  비식용 지방(육지동물의 것)",2008,7.0000,72111.0000,72743.0000,678.0000
'00,"전  국",'C10401200,"  수산동물 조유(원유)",2008,2.0000,...,...,...
'00,"전  국",'C10401900,"  동물성 지방 부산물",2008,20.0000,115358.0000,114896.0000,2790.0000
'00,"전  국",'C10402101,"  참기름",2008,32.0000,132449.0000,131597.0000,11740.0000
'00,"전  국",'C10402102,"  들기름",2008,11.0000,5520.0000,5597.0000,231.0000
'00,"전  국",'C10402103,"  옥수수 원유(압착한 것)",2008,2.0000,...,...,...
'00,"전  국",'C10402104,"  채종유(유채유)",2008,2.0000,...,...,...
'00,"전  국",'C10402109,"  기타 식물성 원유(압착한 것)",2008,6.0000,33727.0000,34533.0000,1199.0000
'00,"전  국",'C10402901,"  대두박",2008,4.0000,307123.0000,306233.0000,2093.0000
'00,"전  국",'C10402909,"  기타 식물성 유박",2008,11.0000,57576.0000,57486.0000,657.0000
'00,"전  국",'C10403101,"  콩기름(대두유)",2008,12.0000,558309.0000,553012.0000,18439.0000
'00,"전  국",'C10403102,"  옥수수기름",2008,9.0000,151363.0000,149990.0000,6300.0000
'00,"전  국",'C10403103,"  올리브유",2008,5.0000,40367.0000,37807.0000,4308.0000
'00,"전  국",'C10403104,"  마아가린",2008,4.0000,104599.0000,103902.0000,3233.0000
'00,"전  국",'C10403105,"  쇼트닝",2008,5.0000,92884.0000,92274.0000,2936.0000
'00,"전  국",'C10403109,"  기타 식물성 정제유 및 가공유",2008,13.0000,153442.0000,152282.0000,4684.0000
'00,"전  국",'C10501101,"  시유",2008,43.0000,2212878.0000,2213909.0000,7436.0000
'00,"전  국",'C10501102,"  연유",2008,7.0000,84284.0000,83849.0000,4154.0000
'00,"전  국",'C10501103,"  조제분유(우유기저)",2008,3.0000,95795.0000,93957.0000,9491.0000
'00,"전  국",'C10501104,"  분유",2008,18.0000,271761.0000,276688.0000,37107.0000
'00,"전  국",'C10501105,"  발효유",2008,42.0000,1343699.0000,1335722.0000,12710.0000
'00,"전  국",'C10501106,"  버터",2008,10.0000,25386.0000,26977.0000,1184.0000
'00,"전  국",'C10501107,"  치즈",2008,22.0000,337006.0000,327533.0000,13326.0000
'00,"전  국",'C10501109,"  기타 낙농제품",2008,18.0000,162774.0000,159498.0000,8997.0000
'00,"전  국",'C10502101,"  아이스크림",2008,39.0000,805097.0000,806587.0000,25711.0000
'00,"전  국",'C10502102,"  빙과",2008,22.0000,551785.0000,549058.0000,9231.0000
'00,"전  국",'C10611101,"  쌀(도정한 것)",2008,106.0000,1546413.0000,1545465.0000,14551.0000
'00,"전  국",'C10611102,"  보리쌀(도정한 것)",2008,9.0000,36808.0000,36911.0000,929.0000
'00,"전  국",'C10611109,"  기타 도정 곡물",2008,10.0000,60570.0000,60590.0000,2777.0000
'00,"전  국",'C10611900,"  도정 부산물",2008,20.0000,17801.0000,17778.0000,63.0000
'00,"전  국",'C10612101,"  밀가루",2008,16.0000,1018867.0000,1004574.0000,34242.0000
'00,"전  국",'C10612102,"  콩가루",2008,6.0000,1513.0000,1483.0000,60.0000
'00,"전  국",'C10612103,"  옥수수가루",2008,6.0000,12322.0000,11455.0000,1232.0000
'00,"전  국",'C10612109,"  기타 곡물가루",2008,42.0000,65304.0000,65122.0000,3129.0000
'00,"전  국",'C10612901,"  소맥피",2008,3.0000,18845.0000,19053.0000,377.0000
'00,"전  국",'C10612902,"  제분 부산물",2008,2.0000,...,...,...
'00,"전  국",'C10613100,"  제과용 혼합분말 및 반죽",2008,44.0000,309129.0000,307753.0000,7245.0000
'00,"전  국",'C10619101,"  선식류",2008,26.0000,117633.0000,114374.0000,9434.0000
'00,"전  국",'C10619102,"  앙금류",2008,12.0000,61381.0000,60982.0000,1651.0000
'00,"전  국",'C10619103,"  씨리얼식품",2008,3.0000,108355.0000,107252.0000,3808.0000
'00,"전  국",'C10619109,"  기타 곡물조제식품",2008,19.0000,21806.0000,21613.0000,894.0000
'00,"전  국",'C10620101,"  고구마전분",2008,3.0000,6552.0000,7061.0000,2769.0000
'00,"전  국",'C10620102,"  옥수수전분",2008,9.0000,161103.0000,152906.0000,12645.0000
'00,"전  국",'C10620103,"  소맥전분",2008,3.0000,57848.0000,56785.0000,2546.0000
'00,"전  국",'C10620109,"  기타 전분제품",2008,14.0000,25734.0000,24454.0000,2031.0000
'00,"전  국",'C10620201,"  포도당",2008,5.0000,47006.0000,46551.0000,1900.0000
'00,"전  국",'C10620202,"  물엿",2008,15.0000,274319.0000,269344.0000,8182.0000
'00,"전  국",'C10620203,"  과당",2008,13.0000,176796.0000,176363.0000,2841.0000
'00,"전  국",'C10620209,"  기타 당류",2008,14.0000,33926.0000,34177.0000,2019.0000
'00,"전  국",'C10711100,"  떡(제조도매)",2008,82.0000,166354.0000,166405.0000,1878.0000
'00,"전  국",'C10711200,"  떡(제조소매)",2008,23.0000,30056.0000,30021.0000,485.0000
'00,"전  국",'C10712101,"  식빵(제조도매)",2008,22.0000,235475.0000,235294.0000,2040.0000
'00,"전  국",'C10712102,"  도넛(제조도매)",2008,14.0000,61087.0000,61020.0000,178.0000
'00,"전  국",'C10712103,"  피자(제조도매)",2008,3.0000,1543.0000,1470.0000,79.0000
'00,"전  국",'C10712104,"  기타 빵류(제조도매)",2008,89.0000,683713.0000,682365.0000,6250.0000
'00,"전  국",'C10712105,"  케이크(제조도매)",2008,30.0000,302699.0000,302659.0000,970.0000
'00,"전  국",'C10712200,"  빵(제조소매)",2008,38.0000,39563.0000,39536.0000,288.0000
'00,"전  국",'C10713101,"  코코아 분말",2008,8.0000,75956.0000,75437.0000,1652.0000
'00,"전  국",'C10713102,"  초콜릿류",2008,45.0000,653672.0000,649139.0000,20656.0000
'00,"전  국",'C10713103,"  캔디류",2008,50.0000,422896.0000,422703.0000,9338.0000
'00,"전  국",'C10713104,"  껌",2008,7.0000,304803.0000,302883.0000,6477.0000
'00,"전  국",'C10713201,"  미과",2008,42.0000,75858.0000,74716.0000,2514.0000
'00,"전  국",'C10713202,"  스낵류",2008,50.0000,1056271.0000,1049314.0000,20320.0000
'00,"전  국",'C10713203,"  건과자류",2008,32.0000,210088.0000,205503.0000,7386.0000
'00,"전  국",'C10713209,"  기타 곡분과자",2008,14.0000,22377.0000,21457.0000,2109.0000
'00,"전  국",'C10720101,"  원당",2008,1.0000,...,...,...
'00,"전  국",'C10720102,"  정제당",2008,4.0000,782382.0000,774773.0000,23703.0000
'00,"전  국",'C10730101,"  국수",2008,53.0000,203838.0000,202087.0000,11038.0000
'00,"전  국",'C10730102,"  당면",2008,13.0000,43322.0000,42957.0000,5419.0000
'00,"전  국",'C10730103,"  냉면",2008,43.0000,63330.0000,63009.0000,1657.0000
'00,"전  국",'C10730109,"  기타 유사국수",2008,18.0000,16683.0000,16720.0000,796.0000
'00,"전  국",'C10730201,"  라면",2008,14.0000,1443615.0000,1423966.0000,44618.0000
'00,"전  국",'C10730209,"  기타 인스턴트면류",2008,8.0000,67540.0000,67488.0000,884.0000
'00,"전  국",'C10741101,"  글루타민소다",2008,1.0000,...,...,...
'00,"전  국",'C10741102,"  기타 화학조미료",2008,3.0000,76281.0000,76266.0000,2613.0000
'00,"전  국",'C10741103,"  식초",2008,15.0000,63959.0000,63323.0000,1676.0000
'00,"전  국",'C10741104,"  맛소금",2008,3.0000,27654.0000,26774.0000,880.0000
'00,"전  국",'C10742101,"  고추가루",2008,37.0000,220211.0000,218890.0000,11697.0000
'00,"전  국",'C10742102,"  후추가루",2008,12.0000,20486.0000,20442.0000,890.0000
'00,"전  국",'C10742103,"  혼합 조미료",2008,28.0000,191843.0000,188982.0000,6928.0000
'00,"전  국",'C10742109,"  기타 천연조미료",2008,47.0000,123914.0000,123072.0000,4499.0000
'00,"전  국",'C10742201,"  마요네즈",2008,5.0000,195790.0000,195878.0000,3415.0000
'00,"전  국",'C10742202,"  케찹",2008,6.0000,77748.0000,77051.0000,2145.0000
'00,"전  국",'C10742203,"  카레",2008,4.0000,68287.0000,68105.0000,1696.0000
'00,"전  국",'C10742209,"  기타 혼합조제조미료",2008,120.0000,605020.0000,599853.0000,22146.0000
'00,"전  국",'C10743101,"  간장",2008,50.0000,239883.0000,237577.0000,12843.0000
'00,"전  국",'C10743102,"  된장",2008,62.0000,137484.0000,135938.0000,5951.0000
'00,"전  국",'C10743103,"  고추장",2008,58.0000,188263.0000,187312.0000,7360.0000
'00,"전  국",'C10743104,"  춘장",2008,17.0000,38803.0000,38536.0000,1637.0000
'00,"전  국",'C10743105,"  메주",2008,24.0000,4881.0000,4951.0000,846.0000
'00,"전  국",'C10743109,"  기타 장류",2008,62.0000,101300.0000,100902.0000,2613.0000
'00,"전  국",'C10749101,"  커피 크리머",2008,9.0000,171766.0000,166437.0000,10288.0000
'00,"전  국",'C10749102,"  효모",2008,14.0000,57866.0000,56564.0000,4641.0000
'00,"전  국",'C10749103,"  가라기난",2008,2.0000,...,...,...
'00,"전  국",'C10749105,"  식품용 색소",2008,6.0000,11980.0000,11601.0000,1286.0000
'00,"전  국",'C10749109,"  기타 식품첨가물",2008,51.0000,309015.0000,306147.0000,28369.0000
'00,"전  국",'C10791101,"  원두커피",2008,15.0000,33193.0000,32833.0000,2688.0000
'00,"전  국",'C10791102,"  인스턴트 커피",2008,8.0000,192707.0000,190194.0000,9144.0000
'00,"전  국",'C10791103,"  커피믹스",2008,18.0000,459033.0000,455456.0000,16861.0000
'00,"전  국",'C10792101,"  녹차",2008,38.0000,153388.0000,152830.0000,6660.0000
'00,"전  국",'C10792102,"  홍차",2008,8.0000,8336.0000,8455.0000,1894.0000
'00,"전  국",'C10792103,"  치커리차, 보리차 및 옥수수차",2008,14.0000,15610.0000,15946.0000,1039.0000
'00,"전  국",'C10792104,"  율무차",2008,14.0000,8062.0000,7966.0000,684.0000
'00,"전  국",'C10792105,"  유자차",2008,32.0000,42211.0000,43281.0000,1721.0000
'00,"전  국",'C10792106,"  꿀차",2008,8.0000,17817.0000,16850.0000,1791.0000
'00,"전  국",'C10792109,"  기타 가공차",2008,54.0000,64008.0000,64324.0000,7579.0000
'00,"전  국",'C10793101,"  조제수프",2008,28.0000,74275.0000,74238.0000,3949.0000
'00,"전  국",'C10793102,"  이유식",2008,6.0000,27560.0000,27767.0000,1911.0000
'00,"전  국",'C10793103,"  음료 베이스",2008,9.0000,94805.0000,94364.0000,1704.0000
'00,"전  국",'C10794101,"  두부",2008,61.0000,261362.0000,261247.0000,976.0000
'00,"전  국",'C10794102,"  유부",2008,7.0000,44310.0000,44204.0000,543.0000
'00,"전  국",'C10794109,"  기타 묵 및 유사제품",2008,21.0000,23745.0000,23505.0000,402.0000
'00,"전  국",'C10795101,"  백삼",2008,12.0000,11956.0000,13677.0000,6075.0000
'00,"전  국",'C10795102,"  홍삼",2008,27.0000,122279.0000,120306.0000,27518.0000
'00,"전  국",'C10795103,"  인삼분말",2008,14.0000,25426.0000,24719.0000,2641.0000
'00,"전  국",'C10795104,"  인삼즙",2008,40.0000,115701.0000,117111.0000,14211.0000
'00,"전  국",'C10795105,"  인삼차",2008,27.0000,36271.0000,39229.0000,5231.0000
'00,"전  국",'C10795106,"  인삼과자",2008,18.0000,134063.0000,123958.0000,13789.0000
'00,"전  국",'C10795109,"  기타 인삼기저 식품",2008,27.0000,61298.0000,58362.0000,7997.0000
'00,"전  국",'C10796101,"  건강원제품",2008,12.0000,38459.0000,36947.0000,2901.0000
'00,"전  국",'C10796109,"  기타 건강보조용 액화식품",2008,73.0000,210637.0000,209530.0000,15883.0000
'00,"전  국",'C10797101,"  스쿠알렌식품",2008,1.0000,...,...,...
'00,"전  국",'C10797102,"  효소식품",2008,11.0000,31501.0000,32342.0000,4433.0000
'00,"전  국",'C10797103,"  정제어유가공식품",2008,4.0000,13262.0000,14001.0000,84.0000
'00,"전  국",'C10797104,"  알로에식품",2008,6.0000,87778.0000,84952.0000,8243.0000
'00,"전  국",'C10797109,"  기타 건강기능식품",2008,27.0000,145771.0000,145508.0000,8282.0000
'00,"전  국",'C10798101,"  냉동만두",2008,43.0000,277253.0000,281184.0000,12087.0000
'00,"전  국",'C10798102,"  기타 냉동조리식품",2008,72.0000,316344.0000,311871.0000,16664.0000
'00,"전  국",'C10798103,"  김밥(제조도매)",2008,17.0000,96129.0000,95362.0000,1931.0000
'00,"전  국",'C10798104,"  도시락(제조도매)",2008,113.0000,484993.0000,492878.0000,1937.0000
'00,"전  국",'C10798105,"  레토르트 식품",2008,34.0000,341957.0000,339745.0000,12049.0000
'00,"전  국",'C10798109,"  기타 식사용 조리식품(제조도매)",2008,101.0000,248805.0000,246571.0000,6354.0000
'00,"전  국",'C10799101,"  계란 및 새알 가공품",2008,23.0000,203859.0000,201742.0000,8023.0000
'00,"전  국",'C10799109,"  기타 식품",2008,5.0000,11323.0000,10791.0000,910.0000
'00,"전  국",'C10800101,"  배합사료(양우용)",2008,89.0000,2849389.0000,2843696.0000,21931.0000
'00,"전  국",'C10800102,"  배합사료(양돈용)",2008,59.0000,2135962.0000,2122654.0000,24536.0000
'00,"전  국",'C10800103,"  배합사료(양계용)",2008,38.0000,1244872.0000,1242659.0000,6260.0000
'00,"전  국",'C10800104,"  배합사료(기타 동물)",2008,42.0000,1244678.0000,1239031.0000,12991.0000
'00,"전  국",'C10800105,"  애완동물사료",2008,13.0000,294798.0000,294952.0000,3194.0000
'00,"전  국",'C10800106,"  사료 첨가제",2008,40.0000,110455.0000,109446.0000,4839.0000
'00,"전  국",'C10800109,"  기타 사료",2008,43.0000,180754.0000,178847.0000,7494.0000
'00,"전  국",'C10800200,"  동물용 조제식품",2008,2.0000,...,...,...
'00,"전  국",'C11," 음료 제조업",2008,459.0000,8493805.0000,8476185.0000,249320.0000
'00,"전  국",'C11111101,"  탁주",2008,27.0000,120018.0000,119957.0000,286.0000
'00,"전  국",'C11111102,"  약주",2008,10.0000,97755.0000,95852.0000,8543.0000
'00,"전  국",'C11112100,"  청주",2008,3.0000,72061.0000,71872.0000,342.0000
'00,"전  국",'C11113101,"  맥아",2008,6.0000,30403.0000,28154.0000,11281.0000
'00,"전  국",'C11113102,"  맥주",2008,6.0000,1829449.0000,1827690.0000,24361.0000
'00,"전  국",'C11119101,"  포도주, 샴페인",2008,4.0000,8312.0000,8532.0000,991.0000
'00,"전  국",'C11119102,"  복분자주",2008,18.0000,92632.0000,90015.0000,5348.0000
'00,"전  국",'C11119109,"  기타 발효주",2008,9.0000,6787.0000,6431.0000,1585.0000
'00,"전  국",'C11121100,"  주정",2008,10.0000,426411.0000,429182.0000,6553.0000
'00,"전  국",'C11122100,"  소주",2008,18.0000,1608921.0000,1610028.0000,26542.0000
'00,"전  국",'C11129101,"  위스키",2008,5.0000,254817.0000,247808.0000,10506.0000
'00,"전  국",'C11129102,"  매실주",2008,4.0000,26515.0000,28018.0000,317.0000
'00,"전  국",'C11129109,"  기타 증류주 및 합성주",2008,14.0000,15896.0000,16721.0000,4658.0000
'00,"전  국",'C11201100,"  얼음",2008,43.0000,27979.0000,27886.0000,741.0000
'00,"전  국",'C11202100,"  생수",2008,56.0000,282966.0000,281625.0000,3755.0000
'00,"전  국",'C11209101,"  콜라",2008,7.0000,425120.0000,423979.0000,6967.0000
'00,"전  국",'C11209102,"  사이다",2008,9.0000,496012.0000,495999.0000,7569.0000
'00,"전  국",'C11209103,"  기타 탄산음료",2008,12.0000,233910.0000,234804.0000,12497.0000
'00,"전  국",'C11209104,"  알카리성 이온음료",2008,15.0000,304301.0000,299340.0000,19472.0000
'00,"전  국",'C11209105,"  식물성 섬유음료",2008,16.0000,40226.0000,41889.0000,2979.0000
'00,"전  국",'C11209106,"  인삼음료",2008,19.0000,137968.0000,135979.0000,13239.0000
'00,"전  국",'C11209107,"  과실음료",2008,53.0000,775001.0000,775084.0000,34241.0000
'00,"전  국",'C11209108,"  채소음료",2008,7.0000,58507.0000,58138.0000,1606.0000
'00,"전  국",'C11209109,"  두유",2008,14.0000,276264.0000,274964.0000,11173.0000
'00,"전  국",'C11209110,"  커피 음료",2008,17.0000,307232.0000,305630.0000,12367.0000
'00,"전  국",'C11209800,"  기타 비알콜성 음료",2008,57.0000,538342.0000,540608.0000,21401.0000
'00,"전  국",'C12," 담배 제조업",2008,11.0000,3268330.0000,3181707.0000,300959.0000
'00,"전  국",'C12001100,"  담배잎(재건조)",2008,2.0000,...,...,...
'00,"전  국",'C12002101,"  담배",2008,9.0000,...,...,...
'00,"전  국",'C13," 섬유제품 제조업; 의복제외",2008,2321.0000,13832579.0000,13781731.0000,912667.0000
'00,"전  국",'C13101100,"  방적용 면",2008,4.0000,44378.0000,44434.0000,154.0000
'00,"전  국",'C13101201,"  순면사",2008,27.0000,600529.0000,598539.0000,43072.0000
'00,"전  국",'C13101202,"  면혼방사",2008,14.0000,137167.0000,131567.0000,13406.0000
'00,"전  국",'C13102100,"  방적용 모",2008,2.0000,...,...,...
'00,"전  국",'C13102201,"  순소모사",2008,16.0000,65005.0000,62966.0000,16095.0000
'00,"전  국",'C13102202,"  혼방소모사",2008,19.0000,85369.0000,85243.0000,7737.0000
'00,"전  국",'C13102203,"  순방모사",2008,8.0000,29414.0000,31906.0000,7152.0000
'00,"전  국",'C13102204,"  혼방방모사",2008,19.0000,61314.0000,62319.0000,6873.0000
'00,"전  국",'C13103101,"  재생섬유사",2008,15.0000,67723.0000,67385.0000,5785.0000
'00,"전  국",'C13103102,"  순합성섬유사",2008,27.0000,286760.0000,273720.0000,28120.0000
